"Sylvester Turner","Houston, TX","http://www.houstontx.gov","http://www.houstontx.gov/mayor/bio.html"
"Ron Nirenberg","San Antonio, TX","http://www.sanantonio.gov","http://www.sanantonio.gov/mayor"
"Eric Johnson","Dallas, TX","http://www.dallascityhall.com","http://dallascityhall.com/government/citymayor/Pages/Biography.aspx"
"Steve Adler","Austin, TX","http://www.austintexas.gov","http://www.mayoradler.com/about-us-2/about-mayor-adler/"
"Betsy Price","Fort Worth, TX","http://www.fortworthtexas.gov","http://fortworthtexas.gov/mayor/bio/"
"Dee Margo","El Paso, TX","http://www.elpasotexas.gov","https://www.elpasotexas.gov/mayor"
"Jeff Williams","Arlington, TX","http://www.arlingtontx.gov","https://www.arlingtontx.gov/city_hall/government/city_council/members/mayor_jeff_williams"
"Joe McComb","Corpus Christi, TX","http://www.cctexas.com","https://ballotpedia.org/Joe_McComb"
"Harry LaRosiliere","Plano, TX","http://www.plano.gov","http://www.plano.gov/1787/Mayor-LaRosiliere"
"Pete Saenz","Laredo, TX","http://www.cityoflaredo.com","http://www.cityoflaredo.com/mayor-council/N_MCmSites/Mayor/index.html"
"Dan Pope","Lubbock, TX","http://www.ci.lubbock.tx.us",""
"Lori Barnett Dodson","Garland, TX","http://www.garlandtx.gov",""
"Rick Stopfer","Irving, TX","http://www.cityofirving.org","https://ballotpedia.org/Rick_Stopfer"
"Ginger Nelson","Amarillo, TX","http://amarillo.gov",""
"Ron Jensen","Grand Prairie, TX","http://www.gptx.org","http://www.gptx.org/index.aspx?page=323"
"George Fuller","McKinney, TX","http://www.mckinneytexas.org","https://www.mckinneytexas.org/1167/Council-Members"
"Jeff Cheney","Frisco, TX","http://www.friscotexas.gov","http://www.friscotexas.gov/586/Jeff-Cheney"
"Trey Mendez","Brownsville, TX","http://www.cob.us","https://votetrey.com/"
"Jeff A. Wagner","Pasadena, TX","http://www.ci.pasadena.tx.us","https://www.pasadenatx.gov/578/Mayor-Jeff-Wagner"
"Jose L. Segarra","Killeen, TX","http://www.ci.killeen.tx.us","https://killenmayor.business.site/"
"James E. Darling","McAllen, TX","http://www.mcallen.net","https://tcaptx.com/staff/jim-darling"
"Bruce Archer","Mesquite, TX","http://www.cityofmesquite.com","https://www.cityofmesquite.com/3158/Mayor"
"Patrick Payton","Midland, TX","http://www.midlandtexas.gov",""
